RT (mins),RI of Sample A,RI of Sample B
24.96666667,68.55377371,155.450539
24.98333333,70.86549527,155.6769178
25,73.19720584,155.7583382
25.01666667,75.56630045,155.8260256
25.03333333,77.93508989,155.9272824
25.05,80.29975945,155.9324088
25.06666667,82.68930084,155.8963364
25.08333333,85.09150703,155.9197734
25.1,87.47799666,155.9767797
25.11666667,89.85258443,155.8964569
25.13333333,92.25280698,155.6635461
25.15,94.64662083,155.4947223
25.16666667,97.05370983,155.0054639
25.18333333,99.4812456,154.8946235
25.2,101.9061874,154.8265077
25.21666667,104.2905408,154.8346859
25.23333333,106.6466654,154.6033011
25.25,109.0053841,154.487883
25.26666667,111.3294652,154.4579142
25.28333333,113.6408816,154.508817
25.3,115.9191864,154.2377593
25.31666667,118.1535459,153.8370019
25.33333333,120.3883632,153.3370623
25.35,122.6009026,153.1346692
25.36666667,124.7633932,152.6866095
25.38333333,126.9078784,152.4781128
25.4,128.9888871,151.8362665
25.41666667,131.0251875,151.5026478
25.43333333,133.0268504,151.2773665
25.45,134.9978432,150.9010231
25.46666667,136.9343511,150.471274
25.48333333,138.7997531,149.951498
25.5,140.6236511,149.6316122
25.51666667,142.3913968,149.2323807
25.53333333,144.0964289,148.5340769
25.55,145.7422569,148.3393131
25.56666667,147.3166737,148.0407896
25.58333333,148.8303606,147.5728935
25.6,150.3025435,147.0866869
25.61666667,151.721931,146.7942669
25.63333333,153.0520546,146.3080602
25.65,154.328925,145.6921539
25.66666667,155.5432344,145.3142846
25.68333333,156.7244322,144.9516742
25.7,157.8070583,144.5829603
25.71666667,158.8317009,144.3637824
25.73333333,159.7769978,143.8684205
25.75,160.6621751,143.3089717
25.76666667,161.4553419,142.6427113
25.78333333,162.2140238,142.4143783
25.8,162.8947333,141.9678445
25.81666667,163.4931979,141.5228366
25.83333333,164.0231506,140.8245328
25.85,164.518771,140.1750571
25.86666667,164.92528,139.6598587
25.88333333,165.2533589,139.1812815
25.9,165.5158249,138.8201969
25.91666667,165.7406018,138.2195494
25.93333333,165.8898476,137.5593925
25.95,165.956696,137.009099
25.96666667,165.9675446,136.3230022
25.98333333,165.9133908,135.919193
26,165.7891991,135.4543487
26.01666667,165.6163319,134.9711938
26.03333333,165.3955521,134.2881488
26.05,165.1291485,133.6203625
26.06666667,164.7867562,132.8823859
26.08333333,164.3766148,132.348877
26.1,163.9213074,131.7070307
26.11666667,163.4054225,131.0667103
26.13333333,162.8162955,130.3851911
26.15,162.2004657,129.8471046
26.16666667,161.5313826,129.4768648
26.18333333,160.8197275,129.0211757
26.2,160.0323888,128.359493
26.21666667,159.2053773,127.8458205
26.23333333,158.3270962,127.0727486
26.25,157.405175,126.1882876
26.26666667,156.4551776,125.1802303
26.28333333,155.4903792,124.4819265
26.3,154.4720225,124.0384445
26.31666667,153.4139928,123.5842813
26.33333333,152.3143067,122.7257602
26.35,151.1696072,121.8229886
26.36666667,149.9785209,120.9339499
26.38333333,148.7581378,120.0784805
26.4,147.4870955,119.4808847
26.41666667,146.2262765,118.6986576
26.43333333,144.9109837,117.9820432
26.45,143.5654785,117.1509879
26.46666667,142.1995265,116.4465806
26.48333333,140.8306753,115.984788
26.5,139.4384782,115.3170018
26.51666667,138.00966,114.6125944
26.53333333,136.5346076,113.8563072
26.55,135.0720675,113.1518999
26.56666667,133.566345,112.2872753
26.58333333,132.0430749,111.5721868
26.6,130.514159,110.9181334
